filename;DicomTag;TagName;TagValue
RT.1.2.246.352.82.6.4871371218273233704.9687097391609868723.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.5022302306464692322.141522836747065051130
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.4
RT.1.2.246.352.82.6.4871371218273233704.9687097391609868723.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0008,0016);SOPClassUID;1.2.840.10008.5.1.4.1.1.481.4
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.4973687440720092601.3763625486951981180
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.4
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.4973687440720092601.3763625486951981180
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.5729072656874714881.102592852811315362730
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0008,0016);SOPClassUID;1.2.840.10008.5.1.4.1.1.481.4
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.4991039054495968025.158716636195823323280
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.4991039054495968025.158716636195823323280
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.4804146822969842327.7411671626092834695
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RI.1.2.246.352.62.1.5392505312040230222.7038532742987960972.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5078248809812511954.3223688115085210531
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.62.1.5749139291130314037.14740269236949962406.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5078248809812511954.3223688115085210531
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.5453476613505390363.8167878907112890758
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5126649194321006987.104682947806535912060
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5126649194321006987.104682947806535912060
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.4833289326415505402.2415693339113437630
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5402722177136864433.184221224090421687530
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5402722177136864433.184221224090421687530
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.5306341025858830675.153456598276314062090
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5423434296318391563.5687822901613440390
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.71.3.336529019833.78926136.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5423434296318391563.5687822901613440390
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.4709824500260662274.6661842842063726487
RI.1.2.246.352.71.3.336529019833.78926137.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RI.1.2.246.352.71.3.336529019833.78926138.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5432228299550488036.152064381445922822690
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.71.3.336529019833.78926139.20230419131816.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5432228299550488036.152064381445922822690
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.5596454758118241590.168536823522266479560
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;(0008,0016);SOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5519233792814374352.4742407413174225555
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RT.1.2.246.352.82.6.4804737242153190952.177957576411015615060.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5519233792814374352.4742407413174225555
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.5116155608232596605.1356845150983037061
RT.1.2.246.352.82.6.4871371218273233704.9687097391609868723.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RT.1.2.246.352.82.6.4973687440720092601.3763625486951981180.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5606493397862707908.8892806146385903490
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RT.1.2.246.352.82.6.4991039054495968025.158716636195823323280.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5606493397862707908.8892806146385903490
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.4720297793340893213.7729479032472261543
RT.1.2.246.352.82.6.5078248809812511954.3223688115085210531.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RT.1.2.246.352.82.6.5126649194321006987.104682947806535912060.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5691326552837155168.7048217253163568260
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RT.1.2.246.352.82.6.5402722177136864433.184221224090421687530.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5691326552837155168.7048217253163568260
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.4983961712121573976.5966441772861819306
RT.1.2.246.352.82.6.5423434296318391563.5687822901613440390.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RT.1.2.246.352.82.6.5432228299550488036.152064381445922822690.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5707051452225590236.4066719320674615070
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RT.1.2.246.352.82.6.5519233792814374352.4742407413174225555.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5707051452225590236.4066719320674615070
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.4642317962404014263.170760557750367241000
RT.1.2.246.352.82.6.5606493397862707908.8892806146385903490.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RT.1.2.246.352.82.6.5691326552837155168.7048217253163568260.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.82.6.5729763720361080376.133885256803668412290
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RT.1.2.246.352.82.6.5707051452225590236.4066719320674615070.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.82.6.5729763720361080376.133885256803668412290
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.82.2.5125046382516220666.1516659969151349896
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0008,1150);ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.5
RT.1.2.246.352.82.6.5729763720361080376.133885256803668412290.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
